D‚tails d?enregistreur :;;;;;;;;;;;;;;;;;;;;;
Type d'enregistreur;1F8;;;;;;;;;;;;;;;;;;;;
Num‚ro de s‚rie;KS1512003;;;;;;;;;;;;;;;;;;;;
firmware du Contr“leur;5,1;;;;;;;;;;;;;;;;;;;;
firmware d'acquisition;5,1;;;;;;;;;;;;;;;;;;;;
Identit‚ de l?enregistreur;Identit‚ de l?enreg;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Job D‚tails;;;;;;;;;;;;;;;;;;;;;
Nombre de canaux analogiques;14;;;;;;;;;;;;;;;;;;;;
Nombre de canaux num‚riques;1;;;;;;;;;;;;;;;;;;;;
Nombre total de canaux utilis‚s;15;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Heure d?armement;08/09/23 09:07;;;;;;;;;;;;;;;;;;;;
Heure de d‚sarmement;08/09/23 12:34;;;;;;;;;;;;;;;;;;;;
Dur‚e;03:26:26 AM;;;;;;;;;;;;;;;;;;;;
Job Description;Nom de la configura;;;;;;;;;;;;;;;;;;;;
Info de canaux;;;;;;;;;;;;;;;;;;;;;
Description;;;;;;;;;;Tension 2 (V);Ref, Junction 1 ('C);Voie +-1000 (Pa);Voie +-250 (Pa);Voie +-200 (Pa);V ManoRec 200 (m_s-1);Pulse Channel 1 (Hz);;;;;
Interv, mesure;;;;;;;;;;12:00:01 AM;Non enregistr‚;12:00:01 AM;12:00:01 AM;12:00:01 AM;12:00:01 AM;12:00:01 AM;;;;;
Intervalle;;;;;;;;;;12:00:01 AM;Non enregistr‚;12:00:01 AM;12:00:01 AM;12:00:01 AM;12:00:01 AM;12:00:01 AM;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;V1 (V);;Tension 2 (V)
Date/Heure;Type;V1 (V);;;;;;;;Tension 2 (V);;Voie +-1000 (Pa);Voie +-250 (Pa);Voie +-200 (Pa);V ManoRec 200 (m_s-1);Pulse Channel 1 (Hz);;;H024;;H47 Mano [m/s]
09/08/23 09:07;Intervalle;NA;;;;;;;;NA Mano [m/s];;-0,614;-0,152;-0,092;H47 Mano [m/s];0;;;0,0003;226,666666666667;0,068
09/08/23 09:07;Intervalle;0,0004;;;;;;;;0,069;;-0,607;-0,15;-0,092;0,069;0;;;0,0004;172,5;0,069
09/08/23 09:07;Intervalle;0,0004;;;;;;;;0,069;;-0,596;-0,147;-0,092;0,069;0;;;0,0004;172,5;0,069
09/08/23 09:07;Intervalle;0,0004;;;;;;;;0,069;;-0,601;-0,149;-0,093;0,069;0;;;0,0004;172,5;0,069
09/08/23 09:07;Intervalle;0,0004;;;;;;;;0,069;;-0,614;-0,149;0,003;0,069;0;;;0,0004;172,5;0,069
09/08/23 09:07;Intervalle;0,0004;;;;;;;;Invalid;;-0,609;-0,148;-0,092;Invalid;0;;;0,0004;172,5;0,069
09/08/23 09:07;Intervalle;0,0004;;;;;;;;0,081;;-0,596;-0,149;0,004;0,081;0;;;0,0004;202,5;0,081
09/08/23 09:07;Intervalle;0,0004;;;;;;;;0,075;;-0,601;-0,148;0,003;0,075;0;;;0,0004;187,5;0,075
09/08/23 09:07;Intervalle;0,0004;;;;;;;;0,0731764705882353;;-0,609;-0,149;-0,093;0,0732;0;;;0,0004;187,5;0,075
09/08/23 09:07;Intervalle;0,0004;;;;;;;;0,0735882352941176;;-0,601;-0,149;-0,093;0,0736;0;;;0,0004;187,5;0,075
09/08/23 09:07;Intervalle;0,0004;;;;;;;;0,0739411764705882;;-0,609;-0,149;-0,092;0,0739;0;;;0,0004;187,5;0,075
